title,audienceRating,contentRating,duration,durationHuman,rating,studio,year
The SpongeBob Movie: Sponge Out of Water,5.4,PG,5554494,1 hr 33 mins,8.1,Paramount,2015
The SpongeBob SquarePants Movie,7.8,PG,5229501,1 hr 27 mins,6.8,Paramount,2004
Spy Kids,4.6,PG,5450578,1 hr 31 mins,9.3,Miramax,2001
Spy Kids 2: Island of Lost Dreams,3.9,PG,6018001,1 hr 40 mins,7.5,Dimension Films,2002
Spy Kids 3: Game Over,2.5,PG,4957095,1 hr 23 mins,4.5,Dimension Films,2003
Spy Kids 4: All the Time in the World,3.7,PG,5265150,1 hr 28 mins,2.3,Dimension Films,2011
Stuart Little,4.1,PG,5076117,1 hr 25 mins,6.7,Columbia Pictures,1999
Stuart Little 2,4.1,G,4662707,1 hr 18 mins,8.1,Columbia Pictures,2002
Super Mario Bros.,2.9,PG,6282584,1 hr 45 mins,2.8,Hollywood Pictures,1993
Surf's Up,7,PG,5131175,1 hr 26 mins,7.9,Columbia Pictures,2007
Tangled,8.7,PG,6017193,1 hr 40 mins,8.9,Walt Disney Pictures,2010
Tarzan,7.5,G,5311358,1 hr 29 mins,8.9,Walt Disney Pictures,1999
Teenage Mutant Ninja Turtles,8.1,PG,5614656,1 hr 34 mins,4.1,New Line Cinema,1990
Teenage Mutant Ninja Turtles,5,PG-13,6078099,1 hr 41 mins,2.1,Paramount,2014
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,6.7,PG,5319220,1 hr 29 mins,3.5,New Line Cinema,1991
Teenage Mutant Ninja Turtles III,3.4,PG,5755328,1 hr 36 mins,1.9,New Line Cinema,1993
Teenage Mutant Ninja Turtles: Out of the Shadows,4.6,PG-13,6727699,1 hr 52 mins,3.7,Paramount,2016
TMNT,6,PG,5211072,1 hr 27 mins,3.5,Warner Bros. Pictures,2007
Tom & Jerry,8.2,PG,6064808,1 hr 41 mins,3.1,Warner Bros. Pictures,2021
Toy Story,9.2,G,4863527,1 hr 21 mins,10,Pixar,1995
Toy Story 2,8.7,G,5545510,1 hr 32 mins,10,Pixar,1999
Toy Story 3,9,G,6153425,1 hr 43 mins,9.8,Walt Disney Pictures,2010
Toy Story 4,9.4,G,6003538,1 hr 40 mins,9.7,Walt Disney Pictures,2019
The Transformers: The Movie,8.8,PG,5095762,1 hr 25 mins,6.2,De Laurentiis Entertainment Group,1986
Treasure Planet,7.2,PG,5723943,1 hr 35 mins,6.9,Walt Disney Pictures,2002
Trolls,6.7,PG,5546985,1 hr 32 mins,7.5,DreamWorks Animation,2016
Trolls 2: World Tour,5.8,PG,5443965,1 hr 31 mins,7.1,Universal Pictures,2020
Turning Red,7.2,PG,5980797,1 hr 40 mins,9.4,Walt Disney Pictures,2022
Up,9,PG,5767634,1 hr 36 mins,9.8,Pixar,2009
Wallace & Gromit: A Close Shave,9.2,TV-G,1885649,31 mins,10,Aardman Animations,1995
Wallace & Gromit: A Grand Day Out,9.1,Not Rated,1437394,24 mins,,Aardman Animations,1990
Wallace & Gromit: A Matter of Loaf and Death,7.7,G,1812562,30 mins,,Aardman Animations,2008
Wallace & Gromit: The Curse of the Were-Rabbit,7.9,G,5099815,1 hr 25 mins,9.5,Aardman Animations,2005
Wallace & Gromit: The Wrong Trousers,9.2,TV-G,1819900,30 mins,10,Aardman Animations,1993
WALL·E,9,G,5892050,1 hr 38 mins,9.5,Walt Disney Pictures,2008
Watership Down,8.6,PG,5535782,1 hr 32 mins,8.2,AVCO Embassy Pictures,1978
Who Framed Roger Rabbit,8.5,PG,6225874,1 hr 44 mins,9.7,Amblin Entertainment,1988
Willy Wonka & the Chocolate Factory,8.7,G,5985362,1 hr 40 mins,9.1,David L. Wolper Productions,1971
The Wizard,5.9,PG,6020062,1 hr 40 mins,2.7,Universal Pictures,1989
The Wizard of Oz,8.9,G,6105468,1 hr 42 mins,9.8,Metro-Goldwyn-Mayer,1939
Wreck-It Ralph,8.6,PG,6073608,1 hr 41 mins,8.7,Walt Disney Pictures,2012
Zootopia,9.2,PG,6512446,1 hr 49 mins,9.8,Walt Disney Pictures,2016
